t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1717305092,1498,1386,6.547665,0,58.205731,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717305122,1508,1386,6.558366,0,58.206240,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717305152,1513,1386,6.519455,0,58.205212,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717305182,1523,1386,6.514591,0,58.205481,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717305212,1528,1386,6.534047,0,58.206979,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305242,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305272,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305302,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305332,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305362,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305392,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305422,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305452,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305482,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305512,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305542,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305572,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305602,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305632,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305662,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305692,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305722,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305752,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305783,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305813,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305843,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305873,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305903,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305933,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305963,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717305993,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306023,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306053,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306083,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306113,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306143,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306173,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306203,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306233,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306263,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306293,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306323,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306353,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306383,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306413,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306443,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306473,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306503,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306533,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306563,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
1717306593,1533,1386,6.531128,0,58.207131,3.000000,4.000000,12.000000,16.000000,22.420000,1380.635000
